STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED
Connecticut,Bridgeport,Marcelo Garcia JJ,bridgeport_marcelogarciajj,,11:00AM,,
Connecticut,Bridgeport,Connecticut Submission Grappling,connecticutsubmissiongrappling,,12:00PM,y,
Connecticut,Danbury,American Top Team,attconnecticut,12:00PM,,,
Connecticut,Hamden,Soulcraft / Macarra BJJ,macarra_bjj_hamden,11:00AM,11:00AM,,
Connecticut,Norwalk,Gracie Sports BJJ,graciesportsbjj,11:30AM,,,
Connecticut,Seymour,Black Hole Jiu Jitsu,blackholejj.ct,11:00AM,6:30PM,,
Connecticut,Stamford,Summit JiuJitsu,summit.jiujitsu,11:00AM,,,
Connecticut,Tolland,Secret Pages Brazilian Jiu Jitsu,secret_pages_bjj,9:00AM,,y,
Connecticut,West Haven,Dandelion Jiujitsu & Wrestling,dandelionbjj,,9:00AM,,
Connecticut,Willington,Agoge Jiu Jitsu and Muay Thai,agogejjmt,,12:30PM,,
Massachusetts,Acton,Mass BJJ,mass_bjj,,12:00PM,,
Massachusetts,Agawam,Ironhold Jiu Jitsu,ironhold_jiujitsu_,9:30AM,,,
Massachusetts,Andover,Gracie Barra Andover,graciebarraandover,,12:00PM,,
Massachusetts,Arlington,New England Submission Fighting (Boston),nesfboston,11:00AM,10:00AM,y,
Massachusetts,Attleboro,Ronin Jiu-Jitsu,roninjiujitsu,10:00AM,10:00AM,,
Massachusetts,Bedford,Bernardo Faria BJJ Academy,bernardofariabjjacademy,1:00PM,11:30AM,,
Massachusetts,Beverly,Invictus Training Center,invictustrainingcenter,11:00AM,10:00AM,,
Massachusetts,Boston,Gracie Barra Boston,gbbostonbjj,1:00PM,,,
Massachusetts,Boston,Combat Sports Boston,combatsportsboston,,12:00PM,,
Massachusetts,Boston,Back 2 Basics Jiu Jitsu,b2basics_jiujitsu,,11:00AM,,
Massachusetts,Boston (Back Bay),Brazilian Top Team Boston,bttboston,12:00PM,,,
Massachusetts,Boston (Back Bay),Brazilian Top Team Back Bay,bttbackbay,,10:00AM,,
Massachusetts,Braintree,Gracie Barra Braintree,gbbraintree,1:00PM,,,
Massachusetts,Brighton (Boston),Submit Your Friend Academy,syfabjj,11:00AM,,,
Massachusetts,Brockton,Orion BJJ,orionbjj,,7:00PM,y,
Massachusetts,Brookline,Florian Martial Arts Center,florianmartialarts,12:00AM,,,
Massachusetts,Cambridge,Ginsberg Academy BJJ,ginsbergbjj,9:00AM,,,
Massachusetts,Clinton,Alchemy Brazilian Jiu-Jitsu,alchemy_brazilian_jiujitsu,,10:00AM,,
Massachusetts,Danvers,20000 Leagues Jiu Jitsu,20000_leagues_jiu_jitsu_,8:00AM,,,
Massachusetts,Dorchester,Empower BJJ,empowerbjjusa,11:00AM,,,
Massachusetts,East Bridgewater,IN Jiujitsu,injiujitsu,,10:00AM,y,
Massachusetts,Fall River,Regiment Training Center,regiment_training_center,,10:00AM,,
Massachusetts,Fitchburg,ZTeam Jiu-Jitsu,zteamjiujitsu,10:00AM,10:00AM,,
Massachusetts,Hanover,Thurston Academy of Martial Arts,thurston_academy,,10:00AM,,
Massachusetts,Hanover,PQ Jiu Jitsu,pqjiujitsu,,6:00PM,y,
Massachusetts,Hudson,Upper Level JiuJitsu,upperlevelhudson,,4:00PM,,
Massachusetts,Hyannis,Cristyan BJJ,cristyanbjj,1:00PM,,,
Massachusetts,Littleton,Unit 232 HQ,unit232.hq,,10:00 AM,y,
Massachusetts,Lowell,The Paradigm Academy,theparadigmacademy,,9:00AM,,
Massachusetts,Lowell,The Paradigm Academy,theparadigmacademy,,6:30PM,,
Massachusetts,Marblehead,First Colony Brazilian Jiu-Jitsu,firstcolonybjj,9:00AM,,,
Massachusetts,Marlborough,Phoenix BJJ,phoenix_jj_official,12:00PM,12:00PM,,
Massachusetts,Marlborough,Gorilla Martial Arts,gorilla_martial_arts_,11:00AM,,,
Massachusetts,Marlborough,Exodus Brazilian Jiu Jitsu,exodus.jiujitsu,8:30AM,8:30AM,,
Massachusetts,Middleboro,REAL BJJ,realbjjma,10:00AM,,,
Massachusetts,Millis,Mohawk Martial Arts,mohawmartialarts,9:00AM,,,
Massachusetts,Nantucket,Werdum Training Center,werdum.nantucket,12:30PM,,,
Massachusetts,Natick,Versus Jiu-Jitsu Academy,versusjiujitsuma,12:00PM,,,
Massachusetts,Newton,ATOM Jiu-Jitsu,atom_bjj,11:00AM,,y,
Massachusetts,Newton,Gracie Barra,gracie_barra_jiujitsu,12:30PM,,,
Massachusetts,North Adams,Steeple City JiuJitsu,steeplecityjiujitsu,11:00AM,,,
Massachusetts,Northborough,Daniel Gracie Academy,danielgracieacademy,11:00AM,10:00AM,,
Massachusetts,Norwood,Elements MMA,elements_mma,11:00AM,,,
Massachusetts,Peabody,Gentle Art Dojo (North Shore),gadnorthshore,,10:00AM,,
Massachusetts,Peabody,Gracie Barra,gbpeabody,12:00PM,,,
Massachusetts,Rowley,Brazilian Top Team Rowley,bttrowley,,11:00AM,,
Massachusetts,Somerville,617 Brazilian Jiu Jitsu,617bjj,12:00PM,,,
Massachusetts,South Boston,South Boston BJJ,southbostonbjj,,9:00AM,,
Massachusetts,Springfield,Vaca BJJ & MMA,vacabjjmma_gym,9:30AM,,,
Massachusetts,Springfield,Fighting Arts Academy,fightingartsacademy,10:45AM,,,
Massachusetts,Taunton,Morselli Jiu Jitsu Academy,morsellijj,10:00AM,,y,
Massachusetts,Tewksbury,Fenix Brazilian Jiu Jitsu Tewksbury,fenixbjjtewksbury,,10:00AM,,
Massachusetts,Wakefield,Team Fight Academy,teamfightacademy,12:00PM,,,
Massachusetts,Waltham,Virtue Martial Arts,virtue_martialarts,2:00PM,,,
Massachusetts,Westborough,Alliance Jiu Jitsu Westborough,alliancewestborough,12:00PM,,,
Massachusetts,Westwood,The Lab Jiu-Jitsu,the_lab_jiu_jitsu_westwood,11:00AM,11:00AM,,
Massachusetts,Whitman,Giannetti Martial Arts,giannettimartialarts,,9:00AM,y,
Massachusetts,Woburn,Boston Brazilian Jiu Jitsu Woburn,bostonbjjwoburn,11:30AM,,,
Massachusetts,Woburn,Fenix Brazilian Jiu Jitsu Woburn,fenixbjjwoburn,11:00AM,,,
Massachusetts,Worcester,Worcester MMA (Abusado Team),worcester_mma,,10:00AM,,
Maine,Augusta,Black Bear BJJ & Fitness,blackbear_bjj,,5:00PM,,
Maine,Blue Hills,Three Points BJJ,threepointsbjj,10:00AM,,,
Maine,Ellsworth,Rolls Jiu Jitsu,rollsjiujitsu,10:00AM,,,
Maine,Houlton,Aroostook Grappling Club,aroostookbjj,10:00AM,,,
Maine,Oakland,Bear Clan JiuJitsu,bearclan_jiujitsu,11:00AM,,,
Maine,Portland,Recon MMA,recon.portland,9:00AM,9:00AM,,
Maine,Portland,The Academy Portland,theacademymaine,1:00PM,,,
Maine,Portland,Stonecoast BJJ,stonecoastbjj,10:45AM,,,
Maine,Rockland,Flow Brazilian Jiu Jitsu,flowbjj_maine,10:00AM,,,
Maine,South Portland,Gracie Barra South Portland,gbsouthportland,,8:00AM,,
Maine,Windham,Gracie Gym Maine,graciegymmaine,12:00PM,,,
New Hampshire,Bedford,Aqueous Brazilian Jiu-Jitsu,aqueousbjj,8:00AM,8:00AM,,
New Hampshire,Brentwood,Dark Arts Jiu Jitsu Brentwood (inside Conquer Self Defense),darkartsjiujitsu_brentwood,11:00AM,,,
New Hampshire,Concord,Leverage Jiu-Jitsu Academy,leverage_jiujitsu_nh,,10:00AM,y,
New Hampshire,Concord,New England BJJ Academy,nebjjacademy,12:00PM,,,
New Hampshire,Derry,Primal Jiu Jitsu and Martial Arts,primaljiujitsuacademy,10:00AM,,,
New Hampshire,East Hampstead,Limitless Pride,limitlesspride,,10:30AM,y,
New Hampshire,Exeter,Hero Jiu Jitsu Academy,herojiujitsu,10:00AM,11:00AM,,
New Hampshire,Exeter,Kevin Watson Brazilian Jiu-Jitsu,kevinwatsonbjj,10:30AM,6:00PM,,
New Hampshire,Hudson,Precision JiuJitsu,precision_jiujitsu,,10:00AM,y,
New Hampshire,Laconia,Lakes Region Vale Tudo,lakesregionvaletudo,,10:30AM,,
New Hampshire,Littleton,Fenix Highlanders Club,fenixhighlanders,,9:00AM,,
New Hampshire,Londonderry,Valle Brazilian Jiu Jitsu,valle_jiujitsu,10:00AM,,,
New Hampshire,Londonderry,Brazilian Top Team,btt_londonderry,12:00PM,,,
New Hampshire,Manchester,Burgess MMA,youtalkwetrain,,10:00AM,,
New Hampshire,Nashua,Gate City MMA,gatecitymma,2:00PM,,,
New Hampshire,North Hampton,Granite State BJJ,granitestatebjj,11:00AM,9:00AM,,
New Hampshire,Rochester,Sanders Jiu Jitsu,sandersbjjacademy,,10:00AM,,
New Hampshire,Swanzey,Monadnock BJJ,monadnockbrazilianjiujitsu,11:00AM,,,
New Hampshire,Windham,Renzo Gracie,renzogracienh,11:00AM,9:00AM,,
Rhode Island,Coventry,Coventry BJJ,coventryribjj,,11:00AM,,
Rhode Island,East Providence,Playground Jiu Jitsu,playgroundjiujitsu,11:00AM,,y,
Rhode Island,Providence,Pajama Strangle Time! Death Kitty Dojo,deathkittydojo,11:30AM,,,
Rhode Island,Providence,Tim Burrill Brazilian Jiu-Jitsu,timburrillbjj,11:30AM,,,
Rhode Island,Providence,Providence BJJ,providencebjj,11:30AM,6:00PM,y,
Rhode Island,Smithfield,Renzo Gracie RI,renzogracieri,10:30AM,,,
Rhode Island,Wakefield,GT Fighting Academy,gtfightingacademy,9:00AM,9:00AM,,
Vermont,Barre,Granite City MMA,granitecitymma,11:00AM,,,
Vermont,Essex Junction,Gracie Jiu Jitsu Vermont,gracie_jiu_jitsu_vermont,11:00AM,,,
Vermont,Hardwick,Kingdom Jiu-Jitsu,kingdom.jiu.jitsu,9:45AM,4:00PM,,
Vermont,Rutland,Rutland American Jiujitsu Academy,rutland_ajj,10:30AM,,,
Vermont,South Burlington,High Hat Brazilian Jiu-Jitsu,highhatbrazilianjiujitsu,,11:00AM,,
Vermont,St. Albans,The Club,theclubvt,9:45AM,,,
Vermont,Williston,Vermont Brazilian Jiu-Jitsu (VT BJJ),vermontbjj,12:00PM,,,
Connecticut,Berlin,Gracie Jiujitsu,gracie_jiujitsu_ct,,,,
Connecticut,Bethel,Teixeira MMA & Fitness,teixeirammaandfitness,,,,
Connecticut,Bridgeport,Iron Lion,iron_lion_team_,,,,
Connecticut,Bristol,Ascension Athletics,ascensionathleticsct,,,,
Connecticut,Brooklyn,Team Squared BJJ,squared_bjj_brooklyn,,,,
Connecticut,Colchester,360 Defense,360defensecolchester,,,,
Connecticut,Cromwell,TRITAC Training Center,tritactrainingcenter,,,,
Connecticut,Danbury,Kore Integrated Combatives,korecombatives,,,,
Connecticut,Danbury,TMC BJJ School,tmcdanburybjj,,,,
Connecticut,Fairfield,FIT CLUB BJJ & Self-Defense,fitclubbjj,,,,
Connecticut,Fairfield,Hammer Jiu Jitsu,hammerjiujitsu,,,,
Connecticut,Fairfield,Radius Martial Arts 10th Planet,radiusmartialarts,,,,
Connecticut,Farmington,Gracie Farmington Valley,gfvjiujitsu,,,,
Connecticut,Glastonbury,Royce Gracie Academy,rgjjnct,,,,
Connecticut,Glastonbury,F.I.T.E. Fit,fitefit1,,,,
Connecticut,Glastonbury,Silverback Training Facility,silverbacktrainingfacility,,,,
Connecticut,Greenwich,Greenwich Jiu Jitsu Academy,greenwichjiujitsuacademy,,,,
Connecticut,Groton,The Roughhouse,roughhousejj,,,,
Connecticut,Hebron,Hebron BJJ (Bushido BJJ),hebronbjj,,,,
Connecticut,Higganum,Kairos Jiu Jitsu,kairosjiujitsu,,,,
Connecticut,Litchfield,Gracie Litchfield Hills,glhjiujitsu,,,,
Connecticut,Madison,Black Wolf Shoreline,blackwolfmartialarts_shoreline,,,,
Connecticut,Manchester,Manchester Brazilian Jiu-Jitsu (Bushido BJJ),manchesterbjj,,,,
Connecticut,Manchester,Team Legacy 860 MMA,teamlegacy860mma,,,,
Connecticut,Manchester,FlowState Fighting & Fitness,flowstatefightingandfitness,,,,
Connecticut,Mansfield,Uconn Brazilian Jiu-Jitsu,uconnbjj,,,,
Connecticut,Middlebury,Campanella Martial Arts,campanellamartialarts,,,,
Connecticut,Milford,Fighting Arts Academy CT,faa_ct,,,,
Connecticut,Milford,Renzo Gracie,renzograciemilford,,,,
Connecticut,Monroe,Cruvinel Brothers Training Center,cruvinelbrothers,,,,
Connecticut,Monroe,Redzone Jiut Jitsu,redzonejiujitsu,,,,
Connecticut,New Britain,Modern Self Defense Center,modernselfdefense,,,,
Connecticut,New Britain,Heavy Hitters Club,heavyhitters.club,,,,
Connecticut,New Haven,Carlson Gracie Jiu-Jitsu,carlsongraciect,,,,
Connecticut,New Haven,Ronin New Haven,roninnewhaven,,,,
Connecticut,New London,Whaling City Athletic Club,whalingcity.athleticclub,,,,
Connecticut,Newtown,Rapadura BJJ / Double Five BJJ,rapadura_bjj,,,,
Connecticut,North Franklin,Rogers Academy,rogersmartialarts,,,,
Connecticut,North Haven,Ultimate Mixed Martial Arts,ultimatemmabjj,,,,
Connecticut,Oakville,Viana Bros Fight Club,vianabrosfightclub,,,,
Connecticut,Oakville,CT Combat Training Center,ct_combat,,,,
Connecticut,Orange,Black Wolf Martial Arts,blackwolfmartialarts,,,,
Connecticut,Plainville,Plainville Martial Arts,pmabjj,,,,
Connecticut,Prospect,Technique Brazilian Jiu-Jitsu,technique_bjj,,,,
Connecticut,Shelton,Endure BJJ Academy,endurebjjacademy,,,,
Connecticut,South Windsor,CT Jiujitsu Kobukai ,kobukai_jj_sw,,,,
Connecticut,Southington,Solid Base BJJ,solidbasebjj,,,,
Connecticut,Stamford,Ground Work Jiu-Jitsu,groundworkjiujitsu,,,,
Connecticut,Stamford,Carlson Gracie Team CT / Cesar Pereira BJJ,bjjstamfordct,,,,
Connecticut,Stratford,Cruvinel Brothers Training Center,cruvinelbros,,,,
Connecticut,Suffield,Full Circle Martial Arts,fullcirclect,,,,
Connecticut,Tolland,IDP Jiujitsu and Fitness,submission_piracy,,,,
Connecticut,Trumbull,Essencia Jiu Jitsu,essenciajj,,,,
Connecticut,Vernon,Gonzalez Grappling,gonzalezgrapplingllc,,,,
Connecticut,Wallingford,Jitsu Academy CT (Nova União CT),jitsuacademyct,,,,
Connecticut,Wallingford,Performance Combat MMA,performance_combat_mike,,,,
Connecticut,Waterbury,IMB of CT Boxing/MMA,imbct,,,,
Connecticut,Waterbury,PSDTC Warriors,psdtc,,,,
Connecticut,Waterford,Crossroads Brazilian Jiu Jitsu,crossroadsbjj,,,,
Connecticut,Wesport,The Dojo,thedojoct,,,,
Connecticut,West Hartford,Underdog Mixed Martial Arts,underdogmmact,,,,
Connecticut,West Hartford,Plus One Defense Systems,plusonedefensesystems,,,,
Connecticut,Windham,Frog Bridge MMA,frogbridgemma,,,,
Connecticut,Windsor,MMA Barn,mmabarn,,,,
Connecticut,Woodbury,Soulcraft JiuJitsu,scissorhandsbjj,,,,
Massachusetts,Amherst,NESF MMA,nesfmma,,,,
Massachusetts,Arlington,Mass BJJ Arlington,massbjj,,,,
Massachusetts,Ashland,SoulFight Jiu Jitsu,soulfightjiujitsu,,,,
Massachusetts,Ashland,Selva Brazilian Jiu Jitsu,selva_bjj,,,,
Massachusetts,Bellingham,USMMA,usmma,,,,
